2015-01-07 15:45:17 CET FATAL:  el sistema de base de datos está iniciándose
2015-01-07 15:45:17 CET LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2015-01-07 10:46:05 CET
2015-01-07 15:45:17 CET LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2015-01-07 15:45:17 CET LOG:  record with zero length at 0/17D6348
2015-01-07 15:45:17 CET LOG:  no se requiere redo
2015-01-07 15:45:18 CET LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-01-07 15:45:18 CET LOG:  lanzador de autovacuum iniciado
2015-01-07 20:52:05 CET LOG:  se recibió SIGHUP, releyendo el archivo de configuración
2015-01-07 22:14:58 CET LOG:  se recibió petición de apagado rápido
2015-01-07 22:14:58 CET LOG:  abortando transacciones activas
2015-01-07 22:14:58 CET LOG:  apagando lanzador de autovacuum
2015-01-07 22:14:58 CET ERROR:  cancelando la sentencia debido a una petición del usuario
