2015-04-28 10:18:37 CEST FATAL:  el sistema de base de datos está iniciándose
2015-04-28 10:18:37 CEST LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2015-04-28 10:02:36 CEST
2015-04-28 10:18:38 CEST LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2015-04-28 10:18:38 CEST LOG:  record with zero length at 0/275EE58
2015-04-28 10:18:38 CEST LOG:  no se requiere redo
2015-04-28 10:18:38 CEST FATAL:  el sistema de base de datos está iniciándose
2015-04-28 10:18:39 CEST LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-04-28 10:18:39 CEST LOG:  lanzador de autovacuum iniciado
2015-04-28 10:18:40 CEST FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-04-28 10:25:30 CEST LOG:  no se pudo recibir datos del cliente: unrecognized winsock error 10061
2015-04-28 10:25:56 CEST LOG:  no se pudo recibir datos del cliente: unrecognized winsock error 10061
