2015-05-27 09:14:06 CEST LOG:  el sistema de bases de datos fue apagado en 2015-05-26 20:50:23 CEST
2015-05-27 09:14:06 CEST FATAL:  el sistema de base de datos está iniciándose
2015-05-27 09:14:07 CEST LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-05-27 09:14:07 CEST LOG:  lanzador de autovacuum iniciado
2015-05-27 09:14:08 CEST FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST LOG:  se recibió petición de apagado rápido
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-27 09:21:37 CEST LOG:  abortando transacciones activas
2015-05-27 09:21:37 CEST LOG:  apagando lanzador de autovacuum
2015-05-27 09:21:41 CEST LOG:  apagando
2015-05-27 09:21:41 CEST LOG:  el sistema de bases de datos está apagado
